?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
175,2024-01-16,직영점,A0086,부산구서점(직),6,정상,일반판매,AJK7VT006,라인다운조끼,BE,베이지,F,판매
176,2024-01-16,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,반품
177,2024-01-16,직영점,A0086,부산구서점(직),7,정상,일반판매,AJL3JP020,S-지크구스롱JP,BK,블랙,F,반품
178,2024-01-16,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,BK,블랙,F,반품
179,2024-01-16,직영점,A0086,부산구서점(직),8,정상,일반판매,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠,CG,차콜그레이,M,판매
180,2024-01-16,직영점,A0086,부산구서점(직),9,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,판매
181,2024-01-16,직영점,A0086,부산구서점(직),9,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,BK,블랙,F,판매
182,2024-01-16,직영점,A0086,부산구서점(직),9,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,판매
183,2024-01-16,직영점,A0086,부산구서점(직),10,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,반품
184,2024-01-16,직영점,A0086,부산구서점(직),10,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,BK,블랙,F,반품
185,2024-01-16,직영점,A0086,부산구서점(직),10,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,반품
186,2024-01-16,직영점,A0086,부산구서점(직),11,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,판매
187,2024-01-16,직영점,A0086,부산구서점(직),11,정상,일반판매,AKL3PT005,C-래핑패딩팬츠,BK,블랙,F,판매
188,2024-01-16,직영점,A0086,부산구서점(직),11,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,판매
189,2024-01-16,직영점,A0086,부산구서점(직),12,정상,일반판매,AJL3JP020,S-지크구스롱JP,BK,블랙,F,판매
190,2024-01-16,직영점,A0086,부산구서점(직),12,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,판매
191,2024-01-17,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT015,C-윈디울부츠컷,OT,오트밀,F,판매
192,2024-01-17,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BR,브라운,F,판매
193,2024-01-17,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,M,판매
194,2024-01-17,직영점,A0086,부산구서점(직),3,기획,일반판매,AKK7JP006,J-삥줄포인덕다운점퍼,BE,베이지,F,판매
195,2024-01-17,직영점,A0086,부산구서점(직),3,기획,일반판매,AKJ7KT002,J-이지컬러니트,BE,베이지,F,판매
196,2024-01-17,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7VT020,J-파머니트조끼,PP,퍼플,F,판매
197,2024-01-17,직영점,A0086,부산구서점(직),3,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매
198,2024-01-17,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ3KT004,C-모아니반폴니트,IV,아이보리,F,판매
199,2024-01-18,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3VT002,C-라비울터들베스트,IV,아이보리,F,판매
200,2024-01-18,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7KT004,J-핸드반폴니트,BE,베이지,F,판매
201,2024-01-18,직영점,A0086,부산구서점(직),2,정상,일반판매,AKI3VT003,C-울스티치베스트,CR,크림,F,판매
202,2024-01-18,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BR,브라운,F,판매
203,2024-01-18,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT015,C-윈디울부츠컷,OT,오트밀,F,반품
204,2024-01-18,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BR,브라운,F,반품
