?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
156,2024-01-23,직영점,A0025,부산연지점(직),3,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,L,판매
157,2024-01-23,직영점,A0025,부산연지점(직),3,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,L,판매
158,2024-01-23,직영점,A0025,부산연지점(직),4,정상,일반판매,AIC3ST006,S-R니트세트,PK,핑크,F,반품
159,2024-01-23,직영점,A0025,부산연지점(직),4,정상,일반판매,AKI7JP002,J-카라레더점퍼,BR,브라운,F,반품
160,2024-01-23,직영점,A0025,부산연지점(직),4,정상,일반판매,AKB3CA008,C-캐미투포켓오픈가디건,MT,민트,F,반품
161,2024-01-23,직영점,A0025,부산연지점(직),4,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,L,반품
162,2024-01-23,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,L,반품
163,2024-01-23,직영점,A0025,부산연지점(직),5,정상,일반판매,AIL7DP004,하트샵자수청,DL,진청,F,판매
164,2024-01-23,직영점,A0025,부산연지점(직),6,정상,일반판매,AEJ2CT101,다우리버 자카드 페미닌코트,IV,아이보리,XL,판매
165,2024-01-23,직영점,A0025,부산연지점(직),6,정상,일반판매,AEJ1PT401,그리피스 보헤미안 니트 팬츠,DK,진카키,M,판매
166,2024-01-23,직영점,A0025,부산연지점(직),6,정상,일반판매,AEH1SK602,디어걸 티어드 드레스스커트,OT,오트밀,M,판매
167,2024-01-23,직영점,A0025,부산연지점(직),6,정상,일반판매,AKB3WS011,S-옆꽃자수롱NB,BK,블랙,F,판매
168,2024-01-24,직영점,A0025,부산연지점(직),1,정상,일반판매,AKB3CA008,C-캐미투포켓오픈가디건,MT,민트,F,판매
169,2024-01-24,직영점,A0025,부산연지점(직),1,정상,일반판매,AJL3DP003,S-사각기모청배기,BK,블랙,F,판매
170,2024-01-24,직영점,A0025,부산연지점(직),2,정상,일반판매,AEJ1JP501,롬바르드 로맨틱스포티 점퍼,GR,회색,L,판매
171,2024-01-24,직영점,A0025,부산연지점(직),2,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,M,판매
172,2024-01-24,직영점,A0025,부산연지점(직),3,정상,일반판매,AKJ3PT003,C-더치골덴통바지,CH,챠콜,S,판매
173,2024-01-24,직영점,A0025,부산연지점(직),3,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,DB,다크베이지,M,판매
174,2024-01-24,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK3TS007,S-비엔T,DB,다크베이지,F,판매
175,2024-01-24,직영점,A0025,부산연지점(직),4,정상,일반판매,AKA3KT006,S-패치트리니트,BK,블랙,F,판매
176,2024-01-24,직영점,A0025,부산연지점(직),5,정상,일반판매,BKL7BG007,J-캣츠백팩,BK,블랙,F,판매
177,2024-01-24,직영점,A0025,부산연지점(직),5,정상,일반판매,AKK3PT008,C-골드버튼배기기모,BK,블랙,L,판매
178,2024-01-24,직영점,A0025,부산연지점(직),6,정상,일반판매,AKK7JP022,J-단가라니트후드집업,BE,베이지,F,판매
179,2024-01-24,직영점,A0025,부산연지점(직),6,정상,일반판매,AKK7VT012,J-캣라운드니트조끼,BE,베이지,F,판매
180,2024-01-24,직영점,A0025,부산연지점(직),7,정상,일반판매,AKJ7PT005,J-라인핀턱슬랙스,BK,블랙,XL,판매
181,2024-01-25,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL7BG009,J-패치숄더백,BK,블랙,F,판매
182,2024-01-25,직영점,A0025,부산연지점(직),2,정상,일반판매,AEI2PT601,볼로냐 와이드 팬츠,BK,블랙,M,판매
