?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
198,2024-01-16,직영점,A0006,부산하단점,5,정상,일반판매,AKJ3PT001,C-포드골덴통바지,GE,그린,F,판매
199,2024-01-16,직영점,A0006,부산하단점,6,정상,일반판매,AKI7KT025,J-라인브이가디건,GE,그린,F,판매
200,2024-01-16,직영점,A0006,부산하단점,6,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
201,2024-01-16,직영점,A0006,부산하단점,7,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,GR,회색,F,판매
202,2024-01-16,직영점,A0006,부산하단점,8,정상,일반판매,AKK3JK003,C-울링자켓,IV,아이보리,F,판매
203,2024-01-16,직영점,A0006,부산하단점,9,정상,일반판매,AKL7JP019,P4-포켓장식덕다운,LG,연한그레이,F,판매
204,2024-01-16,직영점,A0006,부산하단점,10,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BK,블랙,F,반품
205,2024-01-16,직영점,A0006,부산하단점,11,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BK,블랙,F,판매
206,2024-01-16,직영점,A0006,부산하단점,12,정상,일반판매,AKK7KT015,J-해피반폴니트,BK,블랙,F,반품
207,2024-01-16,직영점,A0006,부산하단점,13,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,반품
208,2024-01-16,직영점,A0006,부산하단점,14,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
209,2024-01-16,직영점,A0006,부산하단점,14,정상,일반판매,AKK7KT014,J-스케치래빗니트,NA,네이비,F,판매
210,2024-01-16,직영점,A0006,부산하단점,15,정상,일반판매,AJK7KT009,진주하트니트,RE,레드,F,판매
211,2024-01-16,직영점,A0006,부산하단점,16,정상,일반판매,AKI7DP005,J-심플데님배기,ML,중청,F,판매
