?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
101,2024-01-29,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,RE,레드,F,판매
102,2024-01-29,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKL7MF008,핸메퍼머플러,GR,회색,F,판매
103,2024-01-29,직영점,A0070,부산만덕점(직),5,정상,일반판매,BJK4CP002,방울니트챙,BE,베이지,F,판매
104,2024-01-30,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJK7TS003,오엠폴라티,WH,화이트,F,판매
105,2024-01-30,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJL7KT006,패치반폴KT,BK,블랙,F,판매
106,2024-02-01,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매
107,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIJ3JP017,S-오브제이중카라,BR,브라운,F,판매
108,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKI3PT010,C-트라이앵글통바지,LB,연한베이지,L,판매
109,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4CP015,스카시베레모,PK,핑크,F,판매
110,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4SC004,타일도톰삭스(2pcs),XX,XX,F,판매
111,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKI4SC004,포인트삭스(2pcs),XX,XX,F,판매
112,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,L,판매
113,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매
114,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AHK3CT008,S-폼폼CT,IV,아이보리,F,판매
115,2024-02-02,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL7MF003,스퀘어니트고리,BK,블랙,F,판매
116,2024-02-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKJ7JP002,J-배색덕다운점퍼,MT,민트,F,판매
117,2024-02-02,직영점,A0070,부산만덕점(직),3,정상,일반판매,AIK3TS010,S-텐션나염T,BR,브라운,F,판매
118,2024-02-02,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
