sale_id,sale_date,store_id,product_id,color_id,size_id,quantity,price_type,sale_type,transaction_type,year,month
235,2024-01-25,1,110,7,1,1,정상,일반판매,판매,2023,9
236,2024-01-25,1,111,3,1,1,정상,일반판매,판매,2023,12
237,2024-01-25,1,10,3,5,1,정상,일반판매,판매,2023,11
238,2024-01-25,1,38,5,1,1,정상,일반판매,판매,2023,11
239,2024-01-25,1,112,3,1,1,기획,일반판매,판매,2023,11
240,2024-01-25,1,113,1,1,1,정상,일반판매,판매,2022,12
241,2024-01-25,1,88,24,1,1,정상,일반판매,반품,2023,9
242,2024-01-25,1,114,3,1,1,정상,일반판매,판매,2022,10
243,2024-01-25,1,114,3,1,1,정상,일반판매,반품,2022,10
244,2024-01-25,1,115,3,1,1,정상,일반판매,판매,2023,9
245,2024-01-25,1,116,18,5,1,정상,일반판매,판매,2023,11
246,2024-01-26,1,117,7,1,1,정상,일반판매,판매,2024,2
247,2024-01-26,1,1,3,1,1,정상,일반판매,반품,2023,12
248,2024-01-26,1,90,4,2,1,정상,일반판매,반품,2023,11
249,2024-01-26,1,1,3,1,1,정상,일반판매,판매,2023,12
250,2024-01-26,1,90,4,2,1,정상,일반판매,판매,2023,11
251,2024-01-26,1,1,3,1,1,정상,일반판매,반품,2023,12
252,2024-01-26,1,90,4,2,1,정상,일반판매,반품,2023,11
253,2024-01-26,1,1,3,1,1,정상,일반판매,판매,2023,12
254,2024-01-26,1,90,4,2,1,정상,일반판매,판매,2023,11
255,2024-01-26,1,118,8,5,1,정상,일반판매,판매,2023,11
256,2024-01-26,1,119,18,1,1,기획,일반판매,판매,2023,11
257,2024-01-26,1,120,8,4,1,정상,일반판매,판매,2022,11
258,2024-01-26,1,121,1,1,1,정상,일반판매,판매,2023,12
259,2024-01-27,1,122,9,1,1,정상,일반판매,판매,2023,10
260,2024-01-27,1,123,3,5,1,정상,일반판매,판매,2023,9
261,2024-01-27,1,124,1,1,1,정상,일반판매,판매,2023,10
262,2024-01-27,1,125,9,1,1,정상,일반판매,판매,2023,1
263,2024-01-27,1,126,26,1,1,정상,일반판매,판매,2024,2
264,2024-01-27,1,127,25,1,1,정상,일반판매,판매,2024,2
265,2024-01-27,1,128,17,1,1,정상,일반판매,판매,2024,2
266,2024-01-27,1,129,3,3,1,정상,일반판매,판매,2022,12
267,2024-01-29,1,8,6,1,1,정상,일반판매,판매,2023,10
268,2024-01-29,1,130,17,1,1,정상,일반판매,판매,2022,11
269,2024-01-29,1,63,18,1,1,정상,일반판매,판매,2023,11
270,2024-01-29,1,17,1,1,1,정상,일반판매,판매,2023,12
271,2024-01-29,1,63,3,1,1,정상,일반판매,판매,2023,11
272,2024-01-29,1,131,6,1,1,기획,일반판매,판매,2023,10
273,2024-01-29,1,132,25,1,1,정상,일반판매,판매,2023,10
274,2024-01-29,1,104,1,1,1,정상,일반판매,판매,2023,12
275,2024-01-29,1,23,8,2,1,기획,일반판매,판매,2023,12
276,2024-01-29,1,38,12,1,1,정상,일반판매,판매,2023,11
277,2024-01-30,1,38,12,1,1,정상,일반판매,반품,2023,11
278,2024-01-30,1,133,27,1,1,정상,일반판매,판매,2024,2
279,2024-01-30,1,134,9,1,1,정상,일반판매,판매,2024,2
280,2024-01-30,1,12,1,1,1,정상,일반판매,판매,2023,11
281,2024-01-30,1,63,3,1,1,정상,일반판매,반품,2023,11
282,2024-01-30,1,42,11,1,1,기획,일반판매,판매,2023,11
283,2024-01-30,1,42,10,1,1,기획,일반판매,판매,2023,11
284,2024-01-30,1,134,1,1,1,정상,일반판매,판매,2024,2
285,2024-01-30,1,28,7,1,1,정상,일반판매,판매,2023,11
286,2024-01-30,1,42,10,1,1,기획,일반판매,판매,2023,11
287,2024-01-30,1,133,6,1,1,정상,일반판매,판매,2024,2
288,2024-01-30,1,42,10,1,1,기획,일반판매,반품,2023,11
289,2024-01-30,1,133,6,1,1,정상,일반판매,반품,2024,2
290,2024-01-30,1,42,10,1,1,기획,일반판매,판매,2023,11
291,2024-01-30,1,133,6,1,1,정상,일반판매,판매,2024,2
292,2024-01-30,1,135,9,1,1,정상,일반판매,판매,2023,12
293,2024-01-30,1,136,8,1,1,정상,일반판매,판매,2023,12
294,2024-01-30,1,20,8,1,1,기획,일반판매,판매,2023,12
295,2024-01-31,1,42,20,1,1,기획,일반판매,판매,2023,11
296,2024-01-31,1,20,7,1,1,기획,일반판매,판매,2023,12
297,2024-01-31,1,23,8,5,1,기획,일반판매,판매,2023,12
298,2024-01-31,1,82,22,1,1,정상,일반판매,판매,2023,12
299,2024-01-31,1,137,9,1,1,정상,일반판매,판매,2023,9
300,2024-01-31,1,20,7,1,1,기획,일반판매,반품,2023,12
301,2024-01-31,1,23,8,5,1,기획,일반판매,반품,2023,12
302,2024-01-31,1,82,22,1,1,정상,일반판매,반품,2023,12
303,2024-01-31,1,137,9,1,1,정상,일반판매,반품,2023,9
304,2024-01-31,1,20,7,1,1,기획,일반판매,판매,2023,12
305,2024-01-31,1,23,8,5,1,기획,일반판매,판매,2023,12
306,2024-01-31,1,82,22,1,1,정상,일반판매,판매,2023,12
307,2024-01-31,1,137,9,1,1,정상,일반판매,판매,2023,9
308,2024-01-31,1,138,9,1,1,정상,일반판매,판매,2023,11
309,2024-01-31,1,38,12,2,1,정상,일반판매,판매,2023,11
310,2024-01-31,1,23,8,2,1,기획,일반판매,판매,2023,12
311,2024-01-31,1,139,5,5,1,정상,일반판매,판매,2017,8
312,2024-01-31,1,140,28,1,1,정상,일반판매,판매,2024,2
313,2024-01-31,1,141,23,1,1,정상,일반판매,판매,2021,12
314,2024-01-31,1,134,29,1,1,정상,일반판매,판매,2024,2
315,2024-01-31,1,142,16,1,1,정상,일반판매,판매,2023,11
316,2024-01-31,1,141,23,1,1,정상,일반판매,판매,2021,12
317,2024-01-31,1,140,28,1,1,정상,일반판매,판매,2024,2
318,2024-01-31,1,42,11,1,1,기획,일반판매,반품,2023,11
319,2024-01-31,1,42,10,1,1,기획,일반판매,반품,2023,11
320,2024-01-31,1,134,1,1,1,정상,일반판매,반품,2024,2
321,2024-01-31,1,28,7,1,1,정상,일반판매,반품,2023,11
322,2024-01-31,1,42,10,1,1,기획,일반판매,판매,2023,11
323,2024-01-31,1,42,11,1,1,기획,일반판매,판매,2023,11
324,2024-01-31,1,28,7,1,1,정상,일반판매,판매,2023,11
325,2024-02-01,1,143,3,1,1,정상,일반판매,판매,2023,12
326,2024-02-01,1,91,1,1,1,기획,일반판매,판매,2023,10
327,2024-02-01,1,48,1,1,1,정상,일반판매,판매,2023,12
328,2024-02-01,1,38,5,2,1,정상,일반판매,판매,2023,11
329,2024-02-01,1,61,7,1,1,기획,일반판매,판매,2023,11
330,2024-02-01,1,144,7,1,1,정상,일반판매,판매,2023,10
331,2024-02-01,1,2,2,1,1,정상,일반판매,판매,2023,12
332,2024-02-01,1,32,8,1,1,정상,일반판매,판매,2023,12
333,2024-02-01,1,55,1,1,1,정상,일반판매,판매,2023,12
334,2024-02-01,1,145,30,1,1,정상,일반판매,판매,2022,1
335,2024-02-01,1,146,3,1,1,정상,일반판매,판매,2023,11
336,2024-02-02,1,35,1,1,1,정상,일반판매,판매,2023,12
337,2024-02-02,1,147,16,5,1,정상,일반판매,판매,2023,9
338,2024-02-02,1,147,16,4,1,정상,일반판매,판매,2023,9
339,2024-02-02,1,38,12,1,1,정상,일반판매,판매,2023,11
340,2024-02-02,1,69,2,1,1,기획,일반판매,판매,2023,11
341,2024-02-02,1,148,3,1,1,정상,일반판매,판매,2024,2
342,2024-02-02,1,23,8,7,1,기획,일반판매,판매,2023,12
343,2024-02-02,1,149,31,5,1,정상,일반판매,판매,2024,2
344,2024-02-02,1,117,15,1,1,정상,일반판매,판매,2024,2
345,2024-02-02,1,134,9,1,1,정상,일반판매,판매,2024,2
346,2024-02-02,1,140,28,1,1,정상,일반판매,반품,2024,2
347,2024-02-02,1,141,23,1,1,정상,일반판매,반품,2021,12
348,2024-02-02,1,140,28,1,1,정상,일반판매,판매,2024,2
349,2024-02-02,1,141,23,1,1,정상,일반판매,판매,2021,12
350,2024-02-02,1,23,8,4,1,기획,일반판매,판매,2023,12
351,2024-02-02,1,149,31,5,1,정상,일반판매,판매,2024,2
352,2024-02-02,1,134,29,1,1,정상,일반판매,반품,2024,2
353,2024-02-02,1,142,16,1,1,정상,일반판매,반품,2023,11
354,2024-02-02,1,141,23,1,1,정상,일반판매,반품,2021,12
355,2024-02-02,1,140,28,1,1,정상,일반판매,반품,2024,2
356,2024-02-02,1,134,29,1,1,정상,일반판매,판매,2024,2
357,2024-02-02,1,142,16,1,1,정상,일반판매,판매,2023,11
358,2024-02-02,1,141,23,1,1,정상,일반판매,판매,2021,12
359,2024-02-02,1,140,28,1,1,정상,일반판매,판매,2024,2
360,2024-02-02,1,150,6,1,1,정상,일반판매,판매,2024,2
361,2024-02-02,1,151,32,5,1,정상,일반판매,판매,2024,2
362,2024-02-02,1,149,31,5,1,정상,일반판매,판매,2024,2
363,2024-02-03,1,89,8,1,1,정상,일반판매,판매,2023,12
364,2024-02-03,1,117,7,1,1,정상,일반판매,판매,2024,2
365,2024-02-03,1,117,3,1,1,정상,일반판매,판매,2024,2
366,2024-02-03,1,152,13,2,1,정상,일반판매,판매,2024,2
367,2024-02-03,1,153,18,1,1,정상,일반판매,판매,2022,12
368,2024-02-03,1,154,22,1,1,정상,일반판매,판매,2024,2
369,2024-02-04,1,20,15,1,1,기획,일반판매,판매,2023,12
370,2024-02-04,1,20,3,1,1,기획,일반판매,판매,2023,12
371,2024-02-04,1,155,30,3,1,정상,일반판매,판매,2023,3
372,2024-02-04,1,156,3,1,1,정상,일반판매,판매,2022,3
373,2024-02-06,1,4,29,1,1,기획,일반판매,판매,2023,10
374,2024-02-06,1,4,14,1,1,기획,일반판매,판매,2023,10
375,2024-02-06,1,21,1,2,1,정상,일반판매,판매,2023,9
376,2024-02-06,1,157,6,1,1,정상,일반판매,판매,2024,2
377,2024-02-06,1,38,12,1,1,정상,일반판매,판매,2023,11
378,2024-02-06,1,158,3,1,1,정상,일반판매,판매,2023,11
379,2024-02-06,1,159,3,1,1,정상,일반판매,판매,2023,11
380,2024-02-07,1,160,33,1,1,정상,일반판매,판매,2024,2
381,2024-02-07,1,161,4,2,1,정상,일반판매,판매,2023,12
382,2024-02-07,1,151,32,2,1,정상,일반판매,판매,2024,2
383,2024-02-07,1,134,1,1,1,정상,일반판매,판매,2024,2
384,2024-02-07,1,38,5,1,1,정상,일반판매,판매,2023,11
385,2024-02-07,1,162,1,1,1,정상,일반판매,판매,2021,11
386,2024-02-07,1,27,7,1,1,정상,일반판매,판매,2023,11
387,2024-02-07,1,163,34,1,1,정상,일반판매,판매,2023,12
388,2024-02-08,1,131,6,1,1,기획,일반판매,판매,2023,10
389,2024-02-08,1,8,2,1,1,정상,일반판매,판매,2023,10
390,2024-02-08,1,147,16,4,1,정상,일반판매,판매,2023,9
391,2024-02-08,1,8,2,1,1,정상,일반판매,반품,2023,10
392,2024-02-08,1,147,16,4,1,정상,일반판매,반품,2023,9
