의류 ID,속성 유형,속성 값
222,category,티셔츠
222,texture,저지
222,print,그래픽
223,스타일,페미니
223,category,티셔츠
223,texture,니트
223,print,그래픽
224,스타일,캐주얼
224,category,티셔츠
224,detail,단추
224,texture,저지
224,print,무지
225,스타일,캐주얼
225,category,재킷
225,texture,우븐
225,print,그래픽
226,스타일,내추럴
226,category,티셔츠
226,texture,저지
227,스타일,캐주얼
227,category,티셔츠
227,texture,저지
227,print,무지
228,스타일,캐주얼
228,category,티셔츠
228,detail,자수
228,texture,저지
229,스타일,캐주얼
229,category,티셔츠
229,texture,저지
229,print,무지
230,스타일,캐주얼
230,category,팬츠
230,texture,니트
230,print,그래픽
231,스타일,페미니
231,category,티셔츠
231,texture,저지
231,print,무지
232,스타일,클래식
232,category,티셔츠
232,texture,저지
232,print,무지
233,스타일,캐주얼
233,category,청바지
233,texture,저지
233,print,무지
234,스타일,캐주얼
234,category,티셔츠
234,texture,저지
234,print,무지
235,스타일,페미니
235,category,티셔츠
235,texture,니트
235,print,무지
236,스타일,캐주얼
236,category,티셔츠
236,detail,자수
236,texture,니트
237,스타일,캐주얼
237,category,티셔츠
237,texture,우븐
237,print,그래픽
238,스타일,컨템포러리
238,category,팬츠
238,texture,저지
238,print,그래픽
239,스타일,컨템포러리
239,category,티셔츠
239,texture,저지
240,스타일,캐주얼
240,category,팬츠
240,texture,저지
240,print,무지
241,스타일,페미니
241,category,티셔츠
241,texture,저지
242,스타일,캐주얼
242,category,티셔츠
242,detail,단추
242,texture,저지
242,print,무지
243,스타일,캐주얼
243,category,드레스
243,detail,러플
243,texture,우븐
244,스타일,컨템포러리
244,category,팬츠
244,texture,저지
244,print,무지
245,스타일,캐주얼
245,category,티셔츠
245,texture,니트
246,스타일,캐주얼
246,category,티셔츠
246,texture,저지
246,print,무지
247,스타일,캐주얼
247,category,티셔츠
247,texture,니트
247,print,무지
248,스타일,캐주얼
248,category,티셔츠
248,texture,니트
248,print,무지
249,스타일,캐주얼
249,category,블라우스
249,detail,단추
249,texture,우븐
249,print,무지
250,스타일,캐주얼
250,category,티셔츠
250,texture,니트
250,print,무지
251,스타일,캐주얼
251,category,티셔츠
251,texture,니트
251,print,무지
252,스타일,캐주얼
252,category,티셔츠
252,texture,저지
252,print,그래픽
253,스타일,캐주얼
253,category,티셔츠
253,texture,저지
253,print,무지
254,스타일,컨템포러리
254,category,팬츠
254,texture,저지
255,스타일,내추럴
255,category,티셔츠
255,texture,니트
255,print,그래픽
256,스타일,캐주얼
256,category,티셔츠
256,texture,저지
256,print,그래픽
257,스타일,페미니
257,category,티셔츠
257,texture,저지
258,스타일,캐주얼
258,category,셔츠
258,texture,우븐
258,print,그래픽
259,스타일,캐주얼
259,category,티셔츠
259,texture,저지
259,print,무지
260,스타일,페미니
260,category,티셔츠
260,texture,니트
260,print,그래픽
261,스타일,캐주얼
261,category,니트웨어
261,texture,니트
261,print,무지
262,스타일,캐주얼
262,category,티셔츠
262,texture,저지
263,스타일,캐주얼
263,category,티셔츠
263,texture,저지
263,print,무지
264,스타일,캐주얼
264,category,티셔츠
264,texture,우븐
264,print,그래픽
265,스타일,캐주얼
265,category,팬츠
265,texture,저지
265,print,무지
266,스타일,캐주얼
266,category,니트웨어
266,texture,니트
266,print,무지
267,스타일,내추럴
267,category,팬츠
267,texture,니트
268,스타일,캐주얼
268,category,드레스
268,texture,우븐
269,스타일,캐주얼
269,category,티셔츠
269,detail,슬릿
269,texture,저지
269,print,그래픽
270,스타일,컨템포러리
270,category,드레스
270,texture,저지
270,print,무지
271,스타일,캐주얼
271,category,티셔츠
271,texture,저지
271,print,그래픽
272,스타일,페미니
272,category,티셔츠
272,texture,저지
272,print,무지
273,스타일,캐주얼
273,category,티셔츠
273,texture,저지
273,print,무지
274,스타일,캐주얼
274,category,티셔츠
274,texture,저지
274,print,스트라이프
275,스타일,캐주얼
275,category,티셔츠
275,texture,저지
275,print,그래픽
276,스타일,캐주얼
276,category,티셔츠
276,texture,우븐
277,스타일,캐주얼
