의류 ID,속성 유형,속성 값
75,print,무지
76,스타일,캐주얼
76,category,청바지
76,detail,포켓
76,texture,니트
77,스타일,컨템포러리
77,category,코트
77,texture,우븐
77,print,무지
78,스타일,컨템포러리
78,category,드레스
78,detail,포켓
78,texture,패딩
78,print,무지
79,스타일,캐주얼
79,category,청바지
79,texture,니트
8,스타일,컨템포러리
8,category,재킷
8,detail,단추
8,texture,저지
80,스타일,컨템포러리
80,category,니트웨어
80,detail,단추
80,texture,니트
80,print,무지
81,스타일,캐주얼
81,category,드레스
81,detail,포켓
81,texture,우븐
82,스타일,캐주얼
82,category,티셔츠
82,detail,포켓
82,texture,니트
82,print,스트라이프
83,스타일,캐주얼
83,category,니트웨어
83,detail,단추
83,texture,니트
83,print,무지
84,스타일,캐주얼
84,category,드레스
84,detail,포켓
84,texture,니트
85,스타일,컨템포러리
85,category,코트
85,detail,단추
85,texture,니트
85,print,무지
86,스타일,컨템포러리
86,category,드레스
86,texture,울/캐시미어
86,print,무지
87,스타일,캐주얼
87,category,스커트
87,detail,단추
87,texture,우븐
87,print,무지
88,스타일,컨템포러리
88,category,청바지
88,texture,니트
88,print,무지
89,스타일,캐주얼
89,category,청바지
89,texture,니트
89,print,무지
9,스타일,페미니
9,category,니트웨어
9,texture,니트
9,print,무지
90,스타일,캐주얼
90,category,팬츠
90,texture,니트
90,print,무지
91,스타일,페미니
91,category,팬츠
91,detail,단추
91,texture,니트
91,print,무지
92,스타일,컨템포러리
92,category,드레스
92,detail,단추
92,texture,우븐
92,print,무지
93,스타일,컨템포러리
93,category,스커트
93,texture,우븐
93,print,무지
94,스타일,페미니
94,category,코트
94,detail,포켓
94,texture,우븐
94,print,무지
95,스타일,페미니
95,category,코트
95,texture,우븐
95,print,그래픽
96,스타일,캐주얼
96,category,청바지
96,detail,포켓
96,texture,패딩
97,스타일,컨템포러리
97,category,재킷
97,texture,우븐
97,print,무지
98,스타일,캐주얼
98,category,재킷
98,texture,저지
99,스타일,컨템포러리
