?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
110,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4SC004,타일도톰삭스(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,4
111,2024-02-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKI4SC004,포인트삭스(2pcs),XX,XX,F,판매,잡화,2023,9월,4,양말,4
112,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,L,판매,의류,2017,9월,2,블라우스,602
113,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매,의류,2017,11월,1,티셔츠,501
114,2024-02-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AHK3CT008,S-폼폼CT,IV,아이보리,F,판매,의류,2020,11월,3,코트,8
115,2024-02-02,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL7MF003,스퀘어니트고리,BK,블랙,F,판매,잡화,2023,12월,7,머플러,3
116,2024-02-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKJ7JP002,J-배색덕다운점퍼,MT,민트,F,판매,의류,2023,10월,7,점퍼,2
117,2024-02-02,직영점,A0070,부산만덕점(직),3,정상,일반판매,AIK3TS010,S-텐션나염T,BR,브라운,F,판매,의류,2021,11월,3,티셔츠,10
118,2024-02-02,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매,의류,2023,11월,7,티셔츠,2
119,2024-02-02,직영점,A0070,부산만덕점(직),4,정상,일반판매,BKC4SB012,키높이진주슈즈(9556),BK,블랙,35,판매,잡화,2023,3월,4,신발,12
120,2024-02-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매,의류,2023,12월,7,점퍼,17
121,2024-02-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJJ3JK001,C-밤비레더JK,BR,브라운,F,판매,의류,2022,10월,3,자켓,1
122,2024-02-06,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3DP003,S-노이세미기모통데님,DL,진청,M,판매,의류,2023,12월,3,데님,3
123,2024-02-06,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매,의류,2023,10월,7,데님,2
124,2024-02-06,직영점,A0070,부산만덕점(직),2,정상,일반판매,ALB7JP001,3-SC2DHN-지퍼후드레더점퍼,IV,아이보리,F,판매,의류,2024,2월,7,점퍼,1
125,2024-02-06,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1PT601,플리츠 캐주얼 바지,BK,블랙,L,판매,의류,2017,11월,1,바지,601
126,2024-02-07,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),ALB3CT003,C-SSPSAL-안나트렌치,BE,베이지,F,판매,의류,2024,2월,3,코트,3
127,2024-02-07,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),ALB3KT002,C-SCWRHN-캐시라운드니트,GE,그린,F,판매,의류,2024,2월,3,니트,2
128,2024-02-07,직영점,A0070,부산만덕점(직),2,정상,일반판매,AHK3CT008,S-폼폼CT,IV,아이보리,F,판매,의류,2020,11월,3,코트,8
129,2024-02-07,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJB3TS026,S-해피T,BK,블랙,F,판매,의류,2022,2월,3,티셔츠,26
130,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,GR,회색,M,판매,의류,2017,10월,1,니트나시,201
131,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS012,C-SCCRHN-슬럽라운드긴팔티,WH,화이트,F,판매,의류,2024,2월,3,티셔츠,12
132,2024-02-07,직영점,A0070,부산만덕점(직),4,정상,일반판매,ALB3TS007,C-TCCRHN-베이직단가라티,IV,아이보리,F,판매,의류,2024,2월,3,티셔츠,7
