상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AGD7TS007,조르디T,Free,23000,티셔츠,2019,4월 1일
AFH7WS001,C-포켓체크패턴남방,Free,24500,남방,2018,8월 1일
AFK7KT004,C-퍼퓸진주니트,Free,43000,니트,2018,11월 1일
AEJ6JP002,손본딩코트,Free,90300,점퍼,2017,10월 1일
AIF3PT030,S-P26쿨나염,Free,13900,바지,2021,6월 1일
AIG7DP002,네모패치자수청,Free,43000,데님,2021,7월 1일
AFE1DP301,티티연청스키니,M,63000,데님,2018,5월 1일
AGC3TS053,C-당신의봄TS,Free,23000,티셔츠,2019,3월 1일
AGD3JK008,M-바네사,Free,149000,자켓,2019,4월 1일
AGE7TS009,지퍼스틱T,Free,49000,티셔츠,2019,5월 1일
AEK1OP101,울 셔츠 원피스,XL,29000,원피스,2017,11월 1일
AEL5PT003,밍크바지,L,29000,바지,2017,12월 1일
AFJ3KT010,C-캐시데일리V,Free,44100,니트,2018,10월 1일
AFJ7KT015,C-R펄포인트넥,Free,39000,니트,2018,10월 1일
AFA2TS335,A자수,Free,33000,티셔츠,2018,1월 1일
AFE1PT303,맘마미야(무지P),Free,19000,바지,2018,5월 1일
AEK1VT601,플라워 프린트 패딩 베스트,S,29000,베스트,2017,11월 1일
AFE4CA302,빌딩가디건,Free,33000,가디건,2018,5월 1일
AEL7KN804,단추 롱 니트,Free,29000,니트나시,2017,12월 1일
AFE5BN301,모던BL,Free,27300,블라우스나시,2018,5월 1일
AFK7PT002,D-통레깅스PT,Free,39000,바지,2018,11월 1일
AGE3CA006,S-소매주름Y,Free,59000,가디건,2019,5월 1일
AEK5KT004,파스텔니트,Free,29000,니트,2017,11월 1일
